Name,Phone,Email,Category,Area,Source
"Dr. Pooja Sharma - Skin & Hair Clinic","9625033445","drpoojasharma.skin@gmail.com","Medical Clinic","Alkapuri","gemini-ai"
"Dr. Rakesh Jangid's Skin & Laser Clinic","9909991212","info@drrakeshjangid.com","Skin Clinic","Alkapuri","gemini-ai"
"Mandap","9909970007","mandap@expressresidency.com","Restaurant & Cafe","Sayajigunj","gemini-ai"
"Metropolis Healthcare Ltd.","9825098250","customercare@metropolisindia.com","Skin Clinic","Sayajigunj","gemini-ai"
"The Yoga Institute Vadodara","9909903600","vadodara@theyogainstitute.org","Yoga & Wellness","Pincode 390007","undefined"
"Dr. Darshak Shah's Dental Clinic & Implant Centre","9825049100","info@drdarshakshah.com","Dental Clinic","Alkapuri","gemini-ai"
"Dr. Patel's Dental Clinic & Implant Centre","9825050030","drpatelsdentalclinic@gmail.com","Dental Clinic","Fatehgunj","gemini-ai"
"Dr. Darshan Patel's Physiotherapy Clinic","9909904433","drdarshanpatelphysio@gmail.com","Physiotherapy","Fatehgunj","gemini-ai"
"Dr. Jignesh Patel's Dental Clinic & Implant Center","9825044550","drjigneshpatel@gmail.com","Dental Clinic","Sayajigunj","gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","9909900133","info@drjigarpatelphysiotherapy.com","Physiotherapy","Sayajigunj","gemini-ai"
"Dr. Jigar Patel's Dental Clinic & Implant Centre","9825020088","info@drpatelsdentalclinic.com","Dental Clinic","Karelibaug","gemini-ai"
"Dr. Rakesh Patel's Skin & Laser Clinic","9825050007","drrakeshpatel@gmail.com","Skin Clinic","Karelibaug","gemini-ai"
"Physiofit Physiotherapy & Rehabilitation Clinic","9825004000","info@physiofitvadodara.com","Physiotherapy","Alkapuri","gemini-ai"
"Kaya Skin Clinic","9222222000","customercare@kayaskinclinic.com","Beauty Clinic","Alkapuri","gemini-ai"
"Dr. Ketan Patel's Skin & Hair Clinic","9825044220","info@drketanpatelskinclinic.com","Skin Clinic","Fatehgunj","gemini-ai"
"Dr. Rakesh Patel's Skin & Laser Clinic","9825044222","info@drrakeshpatel.com","Skin Clinic","Fatehgunj","gemini-ai"
"Alkapuri Physiotherapy & Rehab Centre","9425077889","alkapuriphysio@gmail.com","Medical Clinic","Alkapuri","gemini-ai"
"Alkapuri Diagnostics & Polyclinic","9225012345","alkapuridiagnostics@gmail.com","Medical Clinic","Alkapuri","gemini-ai"
"Dr. Jigar Patel's Skin & Hair Clinic","9909923456","drjigarpatelclinic@gmail.com","Skin Clinic","Bhayli","gemini-ai"
"GoMechanic - Akota","9311309613","support@gomechanic.in","Auto Repair","Akota","gemini-ai"
"GoMechanic - Car Service & Repair in Vadodara","9311309613","info@gomechanic.in","Auto Repair","Gorwa","gemini-ai"
"GoMechanic - Car Service & Repair","9311300900","support@gomechanic.in","Auto Repair","Sevasi","gemini-ai"
"Prime Car Wash & Detailing","9974067890","primecarwash@gmail.com","Auto Repair","Vasna Bhayli Road","gemini-ai"
"EatFit","8068056000","care@curefoods.in","Cloud Kitchen","Genda Circle","gemini-ai"
"Dr. Jigar Patel - Skin, Hair & Laser Clinic","9909903444","drjigarpatelclinic@gmail.com","Skin Clinic","Pandya Bridge","gemini-ai"
"Dr. Ruchi's Skin & Hair Clinic","9909904040","drruchisclinic@gmail.com","Skin Clinic","New Alkapuri","gemini-ai"
"Dr. Jigar Patel's Skin & Hair Clinic","9909900116","drjigarpatelclinic@gmail.com","Skin Clinic","Gorwa","gemini-ai"
"Physiofit Physiotherapy & Rehabilitation Clinic","9909904445","physiofitvadodara@gmail.com","Medical Clinic","Ajwa Road","gemini-ai"
"Dr. Ruchi's Skin & Hair Clinic","9904443355","drruchisclinic@gmail.com","Skin Clinic","Chhani","gemini-ai"
"The Urban Dhaba","8525012345","theurbandhaba.vadodara@gmail.com","Restaurant & Cafe","Khodiyar Nagar","gemini-ai"
"Chai Sutta Bar","7325012345","chaisuttabar.vadodara@gmail.com","Restaurant & Cafe","Khodiyar Nagar","gemini-ai"
"Dr. Kinjal's Diet & Wellness Clinic","9909909990","drkinjalsdietclinic@gmail.com","Yoga & Wellness","Genda Circle","gemini-ai"
"GoMechanic Vadodara (Panigate)","9311893118","support@gomechanic.in","Auto Repair","Panigate","gemini-ai"
"Dr. Ruchi's Skin & Hair Clinic","9909903433","drruchiskinclinic@gmail.com","Skin Clinic","Alkapuri","gemini-ai"
"Art of Living Yoga & Meditation Center, Vadodara","9825042450","vadodara@artofliving.org","Yoga & Wellness","Alkapuri","gemini-ai"
"Dr. Nirav Patel's Skin & Hair Clinic","9909904040","drniravpatelclinic@gmail.com","Skin Clinic","New Alkapuri","gemini-ai"
"The Strength Lab","9979833445","strengthlab.sama@gmail.com","Gym & Fitness","Sama","gemini-ai"
"GoMechanic - Car Service & Repair (Carz Care)","9311300011","support@gomechanic.in","Auto Repair","Waghodia Road","gemini-ai"
"DermaVue Skin & Hair Clinic","9909902221","info@dermavue.in","Skin Clinic","Akota","gemini-ai"
"Dr. Jigar Patel's Dental Clinic & Implant Centre","9825121980","drpatelsdentalclinic@gmail.com","Dental Clinic","Old Padra Road","gemini-ai"
"The Beauty Hub Salon & Academy","9909904445","thebeautyhub.vadodara@gmail.com","Beauty Clinic","Munjmahuda","gemini-ai"
"The Fitness Hub","9909999000","thefitnesshub.sevasi@gmail.com","Gym & Fitness","Sevasi","gemini-ai"
"Cafe 99","8825012345","cafe99.vadodara@gmail.com","Restaurant & Cafe","Khodiyar Nagar","gemini-ai"
"The Burger House","7725012345","theburgerhouse.vadodara@gmail.com","Restaurant & Cafe","Khodiyar Nagar","gemini-ai"
"Cult.fit Karelibaug","","hello@cult.fit","Gym & Fitness","Karelibaug","gemini-ai"
"Enrich Salon","7947106000","","Salon & Spa","Alkapuri","gemini-ai"
"Dr. J. M. Patel's Pet Clinic & Animal Hospital","9825130040","drjmpatel@yahoo.com","Veterinary Clinic","Fatehgunj","gemini-ai"
"The Sports Club","9825046022","info@thesportsclub.in","Sports & Recreation","Karelibaug","gemini-ai"
"Dr. Patel's Pet Clinic","9825006655","drpatelpetclinic@gmail.com","Veterinary Clinic","Vasna","gemini-ai"
"Dr. Ruchi Jain's Skin & Hair Clinic","9909903456","drruchiskinclinic@gmail.com","Skin Clinic","Manjalpur","gemini-ai"
"Dr. Jignesh Patel's Pet Clinic & Pet Shop","9825501000","drjigneshpatel@gmail.com","Veterinary Clinic","Akota","gemini-ai"
"The Fitness Studio","9825042000","thefitnessstudio.vadodara@gmail.com","Gym & Fitness","Race Course","gemini-ai"
"Dr. Rakesh Jain's Skin & Hair Clinic","9825109825","drrakeshjain@gmail.com","Skin Clinic","Subhanpura","gemini-ai"
"Dr. Jignesh Patel's Pet Clinic","9825121006","drjigneshpatelvet@gmail.com","Veterinary Clinic","Raopura","gemini-ai"
"GoMechanic - Car Service Center","9311309611","info@gomechanic.in","Auto Repair","Genda Circle","gemini-ai"
"CrossFit Vadodara","9825022200","crossfitvadodara@gmail.com","Sports & Recreation","Genda Circle","gemini-ai"
"Cult.fit Alkapuri","","hello@cult.fit","Gym & Fitness","Alkapuri","gemini-ai"
"The Secret Kitchen","","info@thesecretkitchen.in","Restaurant & Cafe","Alkapuri","gemini-ai"
"The Grand Thakar","9909901100","","Restaurant & Cafe","Karelibaug","gemini-ai"
"The Car Clinic","9825004242","thecarclinic.vadodara@gmail.com","Auto Repair","New Alkapuri","gemini-ai"
"VLCC Healthcare Ltd.","9099039020","vadodara@vlccwellness.com","Beauty Clinic","Sayajigunj","gemini-ai"
"Biryani By Kilo","9555212212","customercare@biryanibykilo.com","Cloud Kitchen","Tarsali","gemini-ai"
"Wheel Care Solutions","9824066778","wheelcare@gmail.com","Auto Repair","Vasna Bhayli Road","gemini-ai"
"Dr. R.K. Patel Pet Clinic & Pet Shop","9825114310","vadodarapetclinic@gmail.com","Veterinary Clinic","Munjmahuda","gemini-ai"
"Yoga Studio by Jigar","9925186000","yogastudiobyjigar@gmail.com","Yoga & Wellness","Sun Pharma Road","gemini-ai"
"Kataria Automobiles (Maruti Suzuki Service Station)","9909971000","service.vadodara@kataria.co.in","Auto Repair","Pandya Bridge","gemini-ai"
"The Yoga Room","9825042000","theyogaroomvadodara@gmail.com","Yoga & Wellness","Tandalja","gemini-ai"
"Dr. Rakesh Jangid's Skin & Hair Clinic","","info@drrakeshjangid.com","Skin Clinic","Alkapuri","gemini-ai"
"The Chocolate Room","9909907100","","Restaurant & Cafe","Sayajigunj","gemini-ai"
"Dr. Darshan Patel's Dental Clinic & Implant Center","9825103456","darshanpatel.dentist@gmail.com","Dental Clinic","Alkapuri","gemini-ai"
"Smile Craft Dental Clinic","9825042456","smilecraftdental@gmail.com","Dental Clinic","Alkapuri","gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","9925004000","drjigarpatelphysio@gmail.com","Physiotherapy","New Alkapuri","gemini-ai"
"Physio Care Clinic - Dr. Jignesh Patel","9825007770","drjigneshpatelphysio@gmail.com","Physiotherapy","New Alkapuri","gemini-ai"
"TGB Express","9909000101","info@tgbhotels.com","Restaurant & Cafe","Fatehgunj","gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic & Sports Injury Center","9825484848","drjigarpatelphysio@gmail.com","Physiotherapy","Fatehgunj","gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","9825484848","drjigarpatelphysio@gmail.com","Physiotherapy","Fatehgunj","gemini-ai"
"Honest Restaurant","9909990018","info@honestrestaurant.com","Restaurant & Cafe","Karelibaug","gemini-ai"
"Smile Dental Clinic & Implant Centre","9825048700","smiledentalclinicvadodara@gmail.com","Dental Clinic","Vasna","gemini-ai"
"Perfect Smile Dental Clinic","9925048700","perfectsmiledentalclinic@gmail.com","Dental Clinic","Vasna","gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","9909945200","drjigarphysio@gmail.com","Medical Clinic","Vasna","gemini-ai"
"PhysioCare Physiotherapy & Rehabilitation Center","9825134767","physiocare.vadodara@gmail.com","Medical Clinic","Vasna","gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic & Rehabilitation Center","9909988844","drjigarphysio@gmail.com","Physiotherapy","Bhayli","gemini-ai"
"Dr. Darshan Patel's Dental Clinic","9909904400","drdarshanpateldental@gmail.com","Dental Clinic","Manjalpur","gemini-ai"
"The Yoga Studio","9925250505","theyogastudio.in@gmail.com","Yoga & Wellness","Manjalpur","gemini-ai"
"Dr. Jigar Patel - Physiotherapist & Wellness Clinic","9825103600","drjigarpatel@gmail.com","Yoga & Wellness","Manjalpur","gemini-ai"
"Ultimate Fitness","9909088990","ultimatefitness.sama@gmail.com","Gym & Fitness","Sama","gemini-ai"
"The Yoga Studio by Jignesh Sir","9825066991","theyogastudiobyjigneshsir@gmail.com","Yoga & Wellness","Sama","gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","9909904260","drjigarphysio@gmail.com","Physiotherapy","Waghodia Road","gemini-ai"
"Dr. Hiren Patel's Dental Clinic","9909900050","drhirenpatel@gmail.com","Dental Clinic","Akota","gemini-ai"
"The Yoga Studio","9825048600","theyogastudiobaroda@gmail.com","Yoga & Wellness","Old Padra Road","gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","9909907779","drjigarpatelpt@gmail.com","Physiotherapy","Old Padra Road","gemini-ai"
"Dr. Hitesh Patel's Physiotherapy Clinic","9825656565","drhiteshpatelpt@gmail.com","Physiotherapy","Old Padra Road","gemini-ai"
"Sparsh Skin & Hair Clinic","9909903423","drchiragpatel@gmail.com","Skin Clinic","Harni","gemini-ai"
"Dr. Jigar Patel's Physiotherapy & Rehabilitation Center","9909903909","drjigarpatelphysio@gmail.com","Physiotherapy","Harni","gemini-ai"
"Driveway Car Service","9979088990","drivewaycars@gmail.com","Auto Repair","Vasna Bhayli Road","gemini-ai"
