Name,Category,Area,Address,Phone,Email,Rating,Reviews,Website,Instagram,Facebook,Est.Year,Score,Source
"District Veterinary Polyclinic, Vadodara","Veterinary Clinic","Panigate","Kothi Char Rasta, Raopura, Vadodara, Gujarat 390001","","",247,0,"","","",,100,"gemini-ai"
"Dr. Pooja Sharma - Skin & Hair Clinic","Medical Clinic","Alkapuri","303, Sterling Centre, Race Course Circle, Alkapuri, Vadodara, Gujarat 390007, India","9625033445","drpoojasharma.skin@gmail.com",4.9,200,"drpoojasharmaclinic.com","drpoojasharmaskin","drpoojasharmaclinic",2019,87,"gemini-ai"
"Dr. Rakesh Jangid's Skin & Laser Clinic","Skin Clinic","Alkapuri","1st Floor, Shivalik Plaza, Opp. Central Mall, Alkapuri, Vadodara, Gujarat 390007","9909991212","info@drrakeshjangid.com",4.9,1100,"https://drrakeshjangid.com","@drrakeshjangid","Dr. Rakesh Jangid's Skin & Laser Clinic",2010,85,"gemini-ai"
"Mandap","Restaurant & Cafe","Sayajigunj","Hotel Express Residency, 18/19, Alkapuri Society, R.C. Dutt Road, Sayajigunj, Vadodara, Gujarat 390020","9909970007","mandap@expressresidency.com",4.4,10000,"expressresidency.com/dining/mandap/","@expressresidency","@expressresidencyvad",,82,"gemini-ai"
"Metropolis Healthcare Ltd.","Skin Clinic","Sayajigunj","Ground Floor, Kunj Plaza, Near Kothi Char Rasta, Sayajigunj, Vadodara, Gujarat 390020","9825098250","customercare@metropolisindia.com",4.1,550,"https://www.metropolisindia.com/","metropolis_labs","MetropolisLabs",,81,"gemini-ai"
"The Yoga Institute Vadodara","Yoga & Wellness","Pincode 390007","301, 3rd Floor, Atlantis K-10, Sarabhai Rd, Vadiwadi, Vadodara, Gujarat 390007","9909903600","vadodara@theyogainstitute.org",4.9,100,"https://theyogainstitute.org/vadodara/","https://www.instagram.com/theyogainstitutevadodara/","https://www.",,80,"undefined"
"Dr. Darshak Shah's Dental Clinic & Implant Centre","Dental Clinic","Alkapuri","GF-1, Alkapuri Arcade, R.C. Dutt Rd, Alkapuri, Vadodara, Gujarat 390007","9825049100","info@drdarshakshah.com",4.9,100,"drdarshakshah.com","drdarshakshah","drdarshakshahdentalclinic",1993,80,"gemini-ai"
"Dr. Patel's Dental Clinic & Implant Centre","Dental Clinic","Fatehgunj","1st Floor, Shivalik Plaza, Opp. Fatehgunj Post Office, Fatehgunj, Vadodara, Gujarat 390002","9825050030","drpatelsdentalclinic@gmail.com",4.9,140,"drpatelsdentalclinic.com","drpatelsdentalclinic","DrPatelsDentalClinic",1995,80,"gemini-ai"
"Dr. Darshan Patel's Physiotherapy Clinic","Physiotherapy","Fatehgunj","101, 1st Floor, Darshanam Plaza, Near Fatehgunj Post Office, Fatehgunj, Vadodara, Gujarat 390002","9909904433","drdarshanpatelphysio@gmail.com",4.9,100,"drdarshanpatelphysiotherapy.com","drdarshanpatelphysio","drdarshanpatelphysiotherapy",2015,80,"gemini-ai"
"Dr. Jignesh Patel's Dental Clinic & Implant Center","Dental Clinic","Sayajigunj","1st Floor, Shivalik Plaza, Nr. Kothi Char Rasta, Sayajigunj, Vadodara, Gujarat 390020","9825044550","drjigneshpatel@gmail.com",4.9,105,"https://drjigneshpatel.com/","drjigneshpatel","DrJigneshPatelsDentalClinic",,80,"gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","Physiotherapy","Sayajigunj","301, 3rd Floor, Kunj Plaza, Sayajigunj, Vadodara, Gujarat 390020","9909900133","info@drjigarpatelphysiotherapy.com",4.9,125,"drjigarpatelphysiotherapy.com","drjigarpatelphysiotherapy","DrJigarPatelPhysiotherapy",2010,80,"gemini-ai"
"Dr. Jigar Patel's Dental Clinic & Implant Centre","Dental Clinic","Karelibaug","G-1, Shivalik Plaza, Near Karelibaug Police Station, Karelibaug, Vadodara, Gujarat 390018","9825020088","info@drpatelsdentalclinic.com",4.9,110,"https://drpatelsdentalclinic.com/","drpatelsdentalclinic","drpatelsdentalclinic",1995,80,"gemini-ai"
"Dr. Rakesh Patel's Skin & Laser Clinic","Skin Clinic","Karelibaug","1st Floor, Shivalik Plaza, Near Karelibaug Police Station, Karelibaug, Vadodara, Gujarat 390018","9825050007","drrakeshpatel@gmail.com",4.9,100,"https","","",,80,"gemini-ai"
